id;id_regional;denominacion;id_tipo_municipalidad;id_tipo_comision;id_instancia_municipalidad;id_ubigeo;estado;id_usuario_inserta
1;5;ANCON;215;123;13;150102;1;1
2;5;SANTA ROSA;215;123;13;150139;1;1
3;5;PUENTE PIEDRA;215;123;13;150125;1;1
4;5;ASIA;215;123;12;150502;1;1
5;5;QUILMANA;215;123;12;150512;1;1
6;5;ATE;215;123;13;150103;1;1
7;5;BARRANCO;215;123;13;150104;1;1
8;5;BELLAVISTA;215;123;13;220201;1;1
9;5;BREÑA;215;123;13;150105;1;1
10;5;CARABAYLLO;215;123;13;150106;1;1
11;5;LIMA CENTRO HISTORICO;427;123;13;150101;1;1
12;5;CERCADO Y PROVINCIAL DE CAÑETE;216;123;67;150501;1;1
13;5;CERCADO Y PROVINCIAL DE LIMA;216;123;24;150101;1;1
14;5;CERCADO Y PROVINCIAL DEL CALLAO;216;123;25;070101;1;1
15;5;CERRO AZUL;215;123;12;150504;1;1
16;5;IMPERIAL;215;123;12;150507;1;1
17;5;NUEVO IMPERIAL;215;123;12;150510;1;1
18;5;SAN LUIS - CAÑETE;215;123;12;150514;1;1
19;5;CHACLACAYO;215;123;13;150107;1;1
20;5;CHILCA;215;123;13;150505;1;1
21;5;CHORRILLOS;215;123;13;150108;1;1
22;5;CIENEGUILLA;215;123;13;150109;1;1
23;5;COMAS;215;123;13;150110;1;1
24;5;COMISION TECNICA AD HOC EDIFICACIONES LIMA;217;123;67;150101;1;1
25;5;COMISION TECNICA AD HOC EDIFICACIONES CALLAO;217;123;67;010101;1;1
26;5;EL AGUSTINO;215;123;13;150111;1;1
27;5;SANTA MARIA DE HUACHIPA;215;123;13;150149;1;1
28;5;HUARAL;216;123;67;150601;1;1
29;5;CHANCAY;215;123;67;150605;1;1
30;5;AUCALLAMA;215;123;67;150604;1;1
31;5;HUAURA;215;123;67;150806;1;1
32;5;HUALMAY;215;123;67;150805;1;1
33;5;SANTA MARIA;215;123;67;150810;1;1
34;5;BARRANCA;215;123;67;150201;1;1
35;5;INDEPENDENCIA;215;123;13;150112;1;1
36;5;JESUS MARIA;215;123;13;150113;1;1
37;5;LA MOLINA;215;123;13;150114;1;1
38;5;LA PERLA;215;123;14;070104;1;1
39;5;LA PUNTA;215;123;14;070105;1;1
40;5;LA VICTORIA;215;123;13;150115;1;1
41;5;LINCE;215;123;13;150116;1;1
42;5;LOS OLIVOS;215;123;13;150117;1;1
43;5;LURIN;215;123;13;150119;1;1
44;5;MAGDALENA DEL MAR;215;123;13;150120;1;1
45;5;MALA;215;123;12;150509;1;1
46;5;SAN ANTONIO;215;123;12;150513;1;1
47;5;SANTA CRUZ DE FLORES;215;123;12;150515;1;1
48;5;MIRAFLORES;215;123;13;150122;1;1
49;5;PACHACAMAC;215;123;13;150123;1;1
50;5;PUNTA HERMOSA;215;123;13;150126;1;1
51;5;PUEBLO LIBRE;215;123;13;150121;1;1
52;5;RIMAC;215;123;13;150128;1;1
53;5;SAN BORJA;215;123;13;150130;1;1
54;5;SAN ISIDRO;215;123;13;150131;1;1
55;5;SAN JUAN DE LURIGANCHO;215;123;13;150132;1;1
56;5;SAN JUAN DE MIRAFLORES;215;123;13;150133;1;1
57;5;SAN LUIS;215;123;13;150134;1;1
58;5;SAN MARTIN DE PORRES;215;123;13;150135;1;1
59;5;SAN MIGUEL;215;123;13;150136;1;1
60;5;SANTA ANITA;215;123;13;150137;1;1
61;5;SANTIAGO DE SURCO;215;123;13;150140;1;1
62;5;SURQUILLO;215;123;13;150141;1;1
63;5;VENTANILLA;215;123;14;070106;1;1
64;5;VILLA MARIA DEL TRIUNFO;215;123;13;150143;1;1
65;5;VILLA EL SALVADOR;215;123;13;150142;1;1
67;5;SIN DEFINIR;257;123;67;000101;1;1
135;5;CALANGO;215;123;67;150503;1;1
137;5;CALETA DE CARQUIN;215;123;67;150803;1;1
139;5;CARMEN DE LA LEGUA REYNOSO;215;123;14;070103;1;1
141;5;HUACHO;215;123;67;150801;1;1
144;5;LURIN - ZONA A;215;123;13;150119;1;1
146;5;LURIN ZONA B;215;123;13;150119;1;1
148;5;PACHANGARA;215;123;67;150906;1;1
150;5;PUCUSANA;215;123;13;150124;1;1
152;5;PUNTA NEGRA;215;123;13;150127;1;1
154;5;RICARDO PALMA;215;123;67;150714;1;1
156;5;SAN BARTOLO;215;123;13;150129;1;1
158;5;SANTA CRUZ DE COCACHACRA;215;123;67;150727;1;1
160;5;SAN VICENTE DE CAÑETE;215;123;67;150501;1;1
162;5;SANTA MARIA DEL MAR;215;123;13;150138;1;1
164;5;SANTA ROSA DE QUIVES;215;123;67;150407;1;1
166;5;SANTO DOMINGO DE LOS OLLEROS;215;123;67;150731;1;1
168;5;SAYAN;215;123;67;150811;1;1
170;5;TANTA;215;123;67;151028;1;1
172;5;VEGUETA;215;123;67;150812;1;1
174;5;LURIGANCHO CHOSICA;215;123;67;150118;1;1
176;5;LURIN;215;123;67;150146;1;1
178;5;YAUYOS;215;123;67;151001;1;1
181;5;ZUÑIGA;215;489;12;150516;1;1
182;5;OYON;427;489;13;150101;1;1
183;5;LUNAHUANA;217;489;67;150508;1;1
184;5;PARAMONGA;215;489;13;150202;1;1
185;5;SUPE;215;489;13;150204;1;1
186;5;SUPE PUERTO;215;489;13;150205;1;1
187;5;CANTA;215;489;13;150401;1;1
188;5;HUAURA PROV;216;489;24;150801;1;1
189;5;SAN ANTONIO DE HUAROCHIRI;215;489;13;150716;1;1
190;5;BELLAVISTA;215;489;14;070102;1;1
191;5;HUARAL DISTRITAL;215;489;13;150601;1;1
192;5;COMISION TECNICA AD HOC LIMA;217;489;67;150101;1;1
193;5;LIMA CENTRAL 1;427;489;13;150101;1;1
194;5;COORDINACIÓN ZONAL;427;489;13;150101;1;1
195;5;HABILITACION URBANA;217;489;67;000101;1;1
196;5;LURIGANCHO CHOSICA;215;489;13;150101;1;1
197;5;COMISION TECNICA AD HOC CALLAO;217;489;67;070101;1;1
198;5;MI PERÚ;217;489;67;070107;1;1
199;5;CENTRO HISTÓRICO DE LIMA;427;123;13;150101;1;1
200;5;OMAS;215;123;67;151022;1;1
201;5;PATIVILCA;215;489;13;150203;1;1
202;5;LUIS CARRANZA;217;489;67;050506;1;1
203;5;COMISION TECNICA AD HOC HUAURA;217;489;67;150801;1;1
204;5;COAYLLO;217;489;67;150506;1;1
