id;denominacion,;estado
1;SIN INSCRIPCION;A
2;CONSEJO NACIONAL;A
5;REGIONAL LIMA;A
6;REGIONAL AREQUIPA;A
7;REGIONAL JUNIN;A
8;REGIONAL LORETO;A
9;REGIONAL LA LIBERTAD;A
10;REGIONAL LAMBAYEQUE;A
11;REGIONAL PIURA;A
12;REGIONAL TACNA;A
13;REGIONAL CUZCO;A
14;REGIONAL ANCASH;A
15;REGIONAL CAJAMARCA;A
16;REGIONAL HUANCAVELICA;A
17;REGIONAL HUANUCO;A
18;REGIONAL ICA;A
19;REGIONAL MOQUEGUA;A
20;REGIONAL PUNO;A
21;REGIONAL SAN MARTIN;A
22;REGIONAL UCAYALI;A
23;REGIONAL AMAZONAS;A
24;REGIONAL TUMBES;A
25;ZONAL MADRE DE DIOS;A
26;REGIONAL APURIMAC;A
27;REGIONAL AYACUCHO;A
