id;tipo;denominacion;codigo;tipo_nombre;sub_codigo;abreviarura;orden;estado
1;1;SOLES;1;MONEDA;;;1;A
2;1;DOLARES AMERICANOS;2;MONEDA;;;2;A
3;2;MASCULINO;3;SEXO;;;1;A
4;2;FEMENINO;4;SEXO;;;2;A
5;3;SOLTERO(A);5;ESTADO CIVIL;;;1;A
6;3;CASADO(A);6;ESTADO CIVIL;;;2;A
7;3;DIVORCIADO(A);7;ESTADO CIVIL;;;3;A
8;3;CONVIVIENTE;8;ESTADO CIVIL;;;4;A
9;4;GERENTE GENERAL;9;CARGOS;;;1;A
10;4;GERENTE REGIONAL;10;CARGOS;;;2;A
11;4;ADMINISTRADOR;11;CARGOS;;;3;A
12;4;ASISTENTE CONTABLE;12;CARGOS;;;4;A
13;4;ASISTENTE DE SISTEMAS;13;CARGOS;;;5;A
14;4;COORDINADOR DE SISTEMAS;14;CARGOS;;;6;A
15;4;ANALISTA PROGRAMADOR;15;CARGOS;;;7;A
16;5;PERUANA;16;NACIONALIDAD;;;1;A
17;5;EXTRANJERA;17;NACIONALIDAD;;;2;A
18;6;COMPRADO;18;FORMAS DE ADQUISICIÓN;;;1;A
19;6;ADQUIRIDO;19;FORMAS DE ADQUISICIÓN;;;2;A
20;7;NUEVO;20;ESTADO DE BIENES;;;1;A
21;7;BUEN ESTADO;21;ESTADO DE BIENES;;;2;A
22;7;REGULAR ESTADO;22;ESTADO DE BIENES;;;3;A
23;7;MAL ESTADO;23;ESTADO DE BIENES;;;4;A
24;7;EN PROCESO;24;ESTADO DE BIENES;;;5;A
25;8;ACTIVADO;25;SITUACION DE BIENES;;;1;A
26;8;BAJA TEMPORAL;26;SITUACION DE BIENES;;;2;A
27;8;BAJA DEFINITIVA;27;SITUACION DE BIENES;;;3;A
28;8;NO UBICADO;28;SITUACION DE BIENES;;;4;A
29;9;REGIMEN UNICO SIMPLIFICADO;29;TIPO DE DOCUMENTO PROVEEDOR;;;1;A
30;9;DOCUMENTO NACIONAL DE IDENTIDAD;30;TIPO DE DOCUMENTO PROVEEDOR;;;2;A
31;4;CAJERO;31;CARGOS;;;1;A
32;4;ASESOR LEGAL;32;CARGOS;;;2;A
33;4;DISEÑADOR GRAFICO;33;CARGOS;;;3;A
34;4;SECRETARIA DE GERENCIA REGIONAL;34;CARGOS;;;4;A
35;4;CONSERJE DE LA REGIONAL;35;CARGOS;;;5;A
36;4;AUXILIAR DE CAJA;36;CARGOS;;;6;A
37;4;ASISTENTE DE JEFATURA DE ADMINISTRACION Y FINANZAS;37;CARGOS;;;7;A
38;4;ENCARGADA DE ASUNTOS TECNICOS;38;CARGOS;;;8;A
39;4;COORDINADOR GREMIAL;39;CARGOS;;;9;A
40;4;AUXILIAR ADMINISTRATIVA;40;CARGOS;;;10;A
41;4;PRACTICANTE DE SISTEMAS;41;CARGOS;;;11;A
42;4;SECRETARIA;42;CARGOS;;;12;A
43;4;ASISTENTE;43;CARGOS;;;13;A
44;4;AUXILIAR CONTABLE;44;CARGOS;;;14;A
45;4;ASISTENTE DE DECANO;45;CARGOS;;;15;A
46;4;RECEPCIONISTA;46;CARGOS;;;16;A
47;4;ASISTENTE DE TESORERIA;47;CARGOS;;;17;A
48;4;ASISTENTE TECNICA;49;CARGOS;;;18;A
49;4;ASISTENTE ADMINISTRATIVO;50;CARGOS;;;19;A
50;4;WEBMASTER;51;CARGOS;;;20;A
51;4;COORDINADOR DE COMUNICACIONES EVENTOS Y DIFUSION;52;CARGOS;;;21;A
52;4;ENCARGADO DE LOGISTICA Y ARCHIVO;53;CARGOS;;;22;A
53;4;JEFE DE ADMINISTRACION Y FINANZAS;54;CARGOS;;;23;A
54;4;AUXILIAR;55;CARGOS;;;24;A
55;4;BIBLIOTECOLOGO;56;CARGOS;;;25;A
56;10;DESGLOSE;57;TIPO DE FORMATO;;;1;A
57;10;CONTINUO;58;TIPO DE FORMATO;;;2;A
58;11;PENDIENTE;59;SITUACION CUOTAS ORDINARIAS;;;1;A
59;11;ANULADO;60;SITUACION CUOTAS ORDINARIAS;;;2;A
60;11;FRACCIONADO;61;SITUACION CUOTAS ORDINARIAS;;;3;A
61;11;PAGADO;62;SITUACION CUOTAS ORDINARIAS;;;4;A
62;12;ESPOSO(A);63;PARENTESCO;;;1;A
63;12;CONCUBINO(A);64;PARENTESCO;;;2;A
64;12;HIJO(A);65;PARENTESCO;;;3;A
65;12;PADRE;66;PARENTESCO;;;4;A
66;12;MADRE;67;PARENTESCO;;;5;A
67;13;ONP;68;SEGURO SOCIAL;;;1;A
68;13;PRIMA;69;SEGURO SOCIAL;;;2;A
69;13;INTEGRA;70;SEGURO SOCIAL;;;3;A
70;13;PROFUTURO;71;SEGURO SOCIAL;;;4;A
71;13;HABITAT;72;SEGURO SOCIAL;;;5;A
72;14;HABILITADO;73;SITUACION CLIENTE;;;1;A
73;14;INHABILITADO;74;SITUACION CLIENTE;;;2;A
74;15;AGREMIADO;75;TIPO DE CLIENTE;;;1;A
75;15;DELEGADO;76;TIPO DE CLIENTE;;;2;A
76;15;TERCERO;77;TIPO DE CLIENTE;;;3;A
77;16;DNI;78;TIPO DOCUMENTO CLIENTE;;;1;A
78;16;RUC;79;TIPO DOCUMENTO CLIENTE;;;2;A
79;17;BASICO;80;GRADO DE CONOCIMIENTO;;;1;A
80;17;INTERMEDIO;81;GRADO DE CONOCIMIENTO;;;2;A
81;17;AVANZADO;82;GRADO DE CONOCIMIENTO;;;3;A
82;14;FALLECIDO;83;SITUACION CLIENTE;;;1;A
83;16;CARNÉ DE EXTRANJERÍA;84;TIPO DOCUMENTO CLIENTE;;;1;A
84;16;PASAPORTE;85;TIPO DOCUMENTO CLIENTE;;;2;A
85;16;SIN DEFINIR;86;TIPO DOCUMENTO CLIENTE;;;3;A
86;3;VIUDO(A);87;ESTADO CIVIL;;;1;A
87;3;SEPARADO(A);88;ESTADO CIVIL;;;2;A
88;18;NORMAL;89;CATEGORIA CLIENTE;;;1;A
89;18;VITALICIO;90;CATEGORIA CLIENTE;;;2;A
90;19;EFECTIVO;91;CONDICION PAGO;;;1;A
91;19;VISANET;92;CONDICION PAGO;;;2;A
92;3;SIN DEFINIR;93;ESTADO CIVIL;;;1;A
93;13;SIN DEFINIR;94;SEGURO SOCIAL;;;1;A
94;5;SIN DEFINIR;95;NACIONALIDAD;;;1;A
95;2;SIN DEFINIR;96;SEXO;;;1;A
96;20;CONTADO;97;FORMA DE PAGO;;;1;A
97;21;INGRESO;100;TIPO DE CENTRO COSTO;;;1;A
98;21;EGRESO;101;TIPO DE CENTRO COSTO;;;2;A
99;12;ABUELO(A);102;PARENTESCO;;;1;A
100;12;AHIJADO(A);103;PARENTESCO;;;2;A
101;12;AMIGO(A);104;PARENTESCO;;;3;A
102;12;BISABUELO(A);105;PARENTESCO;;;4;A
103;12;CONVIVIENTE;106;PARENTESCO;;;5;A
104;12;CUÑADO(A);107;PARENTESCO;;;6;A
105;12;HERMANO(A);108;PARENTESCO;;;7;A
106;12;NIETO(A);109;PARENTESCO;;;8;A
107;12;NOVIO(A);110;PARENTESCO;;;9;A
108;12;PRIMO(A);111;PARENTESCO;;;10;A
109;12;SOBRINO(A);112;PARENTESCO;;;11;A
110;12;SUEGRA(A);113;PARENTESCO;;;12;A
111;12;TIO(A);114;PARENTESCO;;;13;A
112;22;CANCELADO;116;SITUACION DOCUMENTO VENTA;;;1;A
113;22;ANULADO;117;SITUACION DOCUMENTO VENTA;;;2;A
114;12;TITULAR;118;PARENTESCO;;;1;A
115;23;TITULAR;119;PARENTESCO SEGURO;;;1;A
116;23;DEPENDIENTE;120;PARENTESCO SEGURO;;;2;A
117;23;TITULAR Y DEPENDIENTE;121;PARENTESCO SEGURO;;;3;A
118;23;DEPENDIENTE HIJO;122;PARENTESCO SEGURO;;;4;A
119;24;EDIFICACION;123;TIPO PROYECTO;;;1;A
120;24;HABILITACIONES URBANAS;124;TIPO PROYECTO;;;2;A
121;25;ANTEPROYECTO;125;DATOS TECNICOS EDIFICACION;;;1;A
122;25;PROYECTO;126;DATOS TECNICOS EDIFICACION;;;2;A
123;25;CONFORMIDAD DE OBRA CON VARIACION;128;DATOS TECNICOS EDIFICACION;;;3;A
124;25;REGULARIZACION (sólo liquidaciones);129;DATOS TECNICOS EDIFICACION;;;4;A
